source_key,citation,authors,year,publisher,source_type,url,local_file
borowski2016,"Borowski, S.K. et al., ""Affordable Development and Demonstration of a Small Nuclear Thermal Rocket (NTR) Engine and Stage: How Small is Big Enough?"", NASA/TM-2016-219402 (also AIAA-2015-4524)",S.K. Borowski et al.,2016,NASA Glenn Research Center,tier1_agency,https://ntrs.nasa.gov/api/citations/20160014802/downloads/20160014802.pdf,
spacex2013,"Space Exploration Technologies Corp. (SpaceX), Falcon 9 / Merlin engine specification page, archived snapshot of 15 July 2013",SpaceX,2013,Space Exploration Technologies Corp.,tier2_vendor,https://web.archive.org/web/20130715094112/http://www.spacex.com/falcon9#merlin_engine,
goebel2008,"Goebel, D.M. and Katz, I., ""Flight Ion and Hall Thrusters"", Chapter 9 of Fundamentals of Electric Propulsion: Ion and Hall Thrusters, JPL Space Science and Technology Series",D.M. Goebel; I. Katz,2008,Jet Propulsion Laboratory / California Institute of Technology,tier1_agency,https://descanso.jpl.nasa.gov/SciTechBook/series1/Goebel_09_Chap9_Flight.pdf,
brophy_ds1,"Brophy, J.R. et al., ""Ion Propulsion System (NSTAR)"", Deep Space 1 Technology Validation Report",J.R. Brophy et al.,2000,NASA Jet Propulsion Laboratory,tier1_agency,https://pdssbn.astro.umd.edu/holdings/ds1-c-micas-3-rdr-visccd-borrelly-v1.0/document/doc_Apr04/int_reports/IPS_Integrated_Report.pdf,
nextc_ao2014,"""NASA's Evolutionary Xenon Thruster (NEXT) Ion Propulsion System Information Summary"", NEXT-C Project document for the Discovery 2014 Announcement of Opportunity library",NEXT-C Project,2014,NASA Glenn Research Center,tier1_agency,https://discovery.larc.nasa.gov/discovery/pdf_files/20-NEXT-C_AO_Guidebook_11July14.pdf,
benson2020,"Benson, S.W., Soulas, G.C. et al., ""NEXT-C Flight Ion System Status"", AIAA 2020-3604, AIAA Propulsion and Energy Forum",S.W. Benson; G.C. Soulas et al.,2020,NASA Glenn Research Center / AIAA,tier1_peer_reviewed,https://ntrs.nasa.gov/api/citations/20205005689/downloads/AIAA_2020-3604_Next-C_Flight_Ion_System_Status_-_Final_8-4-20.pdf,
soulas2007,"Soulas, G.C., Patterson, M.J. et al., ""Performance Evaluation of the Prototype Model NEXT Ion Thruster"", AIAA-2007-5199, NTRS 20080012739",G.C. Soulas; M.J. Patterson et al.,2007,NASA Glenn Research Center / AIAA,tier1_peer_reviewed,https://ntrs.nasa.gov/api/citations/20080012739/downloads/20080012739.pdf,
sankovic1993,"Sankovic, J.M., Hamley, J.A., and Haag, T.W., ""Performance Evaluation of the Russian SPT-100 Thruster at NASA LeRC"", IEPC-93-094, NTRS 19940019157",J.M. Sankovic; J.A. Hamley; T.W. Haag,1993,NASA Lewis Research Center,tier1_agency,https://ntrs.nasa.gov/api/citations/19940019157/downloads/19940019157.pdf,
koppel2004,"Koppel, C.R. and Estublier, D., ""The SMART-1 Electric Propulsion Subsystem In Flight Experience"", AIAA-2004-3435, 40th Joint Propulsion Conference",C.R. Koppel; D. Estublier,2004,AIAA / European Space Agency,tier1_peer_reviewed,https://sci.esa.int/documents/34677/36590/1567255180622-AIAA2004-3435-koppel-smart09.pdf,
szabo2017,"Szabo, J. et al. (Busek) and Kamhawi, H., Smith, T. (NASA GRC), ""High Throughput 600 Watt Hall Effect Thruster for Space Exploration"", NTRS 20170001303",J. Szabo et al.; H. Kamhawi; T. Smith,2017,NASA Glenn Research Center / Busek Co. Inc.,tier1_agency,https://ntrs.nasa.gov/api/citations/20170001303/downloads/20170001303.pdf,
busek_bht600,"Busek Co. Inc., ""BHT-600 Hall Effect Thruster"" product datasheet",Busek Co. Inc.,2026,Busek Co. Inc.,tier2_vendor,https://www.busek.com/bht600,
