system_name,metric,value_low,value_high,unit,source_key,page,quoted_text,note
Pewee,isp,865,901,s,finseth1991,Appendix C Table C-1; PEWEE 1 section,"The PEWEE 1 also set a record for the highest peak equivalent ideal vacuum specific impulse, 901 seconds.","IDEAL VACUUM specific impulse - a CALCULATED quantity, not a delivered measurement. The source defines the method: 'assumes an infinite nozzle expansion ratio, without losses, discharging into a perfect vacuum' and is 'based on the temperature of the hydrogen gas exiting the fuel elements NOT the nozzle chamber temperature'. Formula Isp = 12.8*sqrt(Te), Te in degrees R. Verified internally consistent: 2539 K = 4570 R -> 865.1; 2750 K = 4950 R -> 900.6. NOT directly comparable to the delivered Isp of a flight engine - see docs/data-collection.md. Range spans run-average (865) to peak (901)."
Pewee,thrust,111205.5403825,111205.5403825,N,borowski2016,5,"It produced ~25 klbf of thrust and set several performance records including the highest fuel element hydrogen exhaust temperature of ~2550 K, and the highest peak fuel temperature of ~2750 K.","Retrospective nominal rating from a 2016 NASA document. The contemporaneous test report (Finseth 1991) states no thrust value for Pewee anywhere. Converted from ~25,000 lbf at 4.4482216153 N/lbf."
Merlin 1D,isp,311,311,s,spacex2013,Merlin engine section,Sea Level Isp: 282s; Vacuum Isp: 311s,"Vacuum figure used per the project's vacuum-preferred rule. Sea level is 282 s. 2013 Merlin 1D specification. The 2025 Falcon User's Guide gives 845 kN sea level for a later uprated variant; figures are NOT mixed across the two sources. See docs/data-collection.md section 5, conflict 3."
Merlin 1D,thrust,716163.6800633,716163.6800633,N,spacex2013,Merlin engine section,"Sea Level Thrust : 147,000 lbf; Vacuum Thrust: 161,000 lbf","Vacuum figure used (161,000 lbf), converted at 4.4482216153 N/lbf. Sea level is 147,000 lbf = 653,889 N. 2013 Merlin 1D specification. The 2025 Falcon User's Guide gives 845 kN sea level for a later uprated variant; figures are NOT mixed across the two sources. See docs/data-collection.md section 5, conflict 3."
NSTAR,isp,1979,3127,s,goebel2008,"432, Table 9-2",15   2567   2325   92.7   3127   61.8 ... 0   577   518   20.7   1979   42.0,"Range spans the full DS1 flight throttle table, TH0 (1,979 s) to TH15 (3,127 s). The often-quoted 'more than 3,000 seconds' is a design statement covering the high end only."
NSTAR,thrust,0.0207,0.0927,N,goebel2008,"432, Table 9-2",15   2567   2325   92.7   3127   61.8 ... 0   577   518   20.7   1979   42.0,"Published as 20.7-92.7 mN across throttle levels TH0-TH15. Source labels this 'Calculated Thrust'. Ion-thruster thrust is standardly derived from beam current and voltage rather than measured on a thrust stand, in all sources consulted. Not directly comparable to a chemical engine's measured thrust - see docs/data-collection.md section 7."
NSTAR,input_power,0.518,2.325,kW,goebel2008,"432, Table 9-2","columns: PPU Input Power (W), Engine Input Power (W); 0   577   518 ... 15   2567   2325","ENGINE input power (518-2,325 W), i.e. what reaches the thruster. The PPU input power - what the spacecraft supplies - is 577-2,567 W. The commonly quoted '2.3 kW NSTAR' is the engine figure; '2.5 kW' is the PPU figure. Engine input used throughout for consistency with the thruster-only mass."
NSTAR,engine_mass,8.33,8.33,kg,brophy_ds1,"2, Table 1",Ion Engine    8.33,"Thruster alone, flight hardware. Excludes PPU (15.03 kg), xenon feed system, tank, and DCIU; the complete NSTAR propulsion system is 48.00 kg."
NEXT-C,isp,1395,4220,s,nextc_ao2014,"11, 13 (TT11)","Max. Specific Impulse, sec    4220 ; TL01   1.85   1.00   275   25   1,395","Range spans NEXT Throttle Table 11, TL01 to the 4,220 s maximum. NOTE: peak Isp occurs at TL22, an intermediate-power point, NOT at full power - TL40 (full power) gives 4,155 s. Corroborated by Benson 2020: '1400 to 4200sec, depending on the throttle condition'."
NEXT-C,thrust,0.025,0.235,N,nextc_ao2014,"11, 13 (TT11)","Thrust, mN    25-235","Published as 25-235 mN, TL01 to TL40. Excludes the Expanded Throttle Levels, which the source provides 'for reference information only' with lifetime characterisation incomplete. Source labels this 'Calculated Thrust'. Ion-thruster thrust is standardly derived from beam current and voltage rather than measured on a thrust stand, in all sources consulted. Not directly comparable to a chemical engine's measured thrust - see docs/data-collection.md section 7."
NEXT-C,input_power,0.545,6.853,kW,nextc_ao2014,"11, 13 (TT11)","Thruster Power Range, kW    0.5-6.9 ; column header 'Thruster Input Power W'","THRUSTER input power (545-6,853 W). The '7.4 kW NEXT-C' figure common in the literature is PPU input power, a different quantity."
NEXT-C,engine_mass,12.7,13.5,kg,nextc_ao2014,11; Soulas 2007 p.1,"Mass (with harness), kg    13.5 ; ""The dry mass of PM1 is 12.7 kg.""","Range spans two published configurations of the same thruster: 12.7 kg dry (PM1 prototype model, Soulas 2007) and 13.5 kg with integrated harness (NEXT-C data sheet). Not in conflict - different configurations. No as-built FLIGHT-unit mass is published; both are design/prototype values. Excludes PPU (33.9 kg) and gimbal (6 kg)."
SPT-100,isp,1220,1590,s,sankovic1993,"10, Table II",300.  3.01  903 ... 44.3  1220 ... 300.  5.00  1500 ... 95.4  1590,"Range spans the tested envelope at 300 V. Design point is 1,550 s. Goebel & Katz Table 9-8 gives a nominal 1,600 s. From the NASA LeRC parametric test of a Fakel flight-model SPT-100 (S/N 002) at design voltage 300 V. The paper predates the SPT-100B/SPT-100D designations - do NOT transfer these figures to those variants. Off-design results at 201-250 V exist (Isp 1100-1410 s) but belong to a different condition and are excluded to keep one coherent envelope. The source warns 'The facility pressure had a significant effect on thruster performance and stability at the conditions tested' - treat the extremes with caution."
SPT-100,thrust,0.0443,0.0965,N,sankovic1993,"10, Table II",300.  3.01  903  3.45  0.26  3.71  0.071  44.3  1220 ... 300.  4.98  1490  5.45  1.0  6.48  0.16  96.5  1520,"Published as 44.3-96.5 mN. Cathode flow fraction materially shifts thrust: at the 1350 W design point, 82.7 mN at 0.26 mg/s vs 85.7 mN at 0.50 mg/s. From the NASA LeRC parametric test of a Fakel flight-model SPT-100 (S/N 002) at design voltage 300 V. The paper predates the SPT-100B/SPT-100D designations - do NOT transfer these figures to those variants. Off-design results at 201-250 V exist (Isp 1100-1410 s) but belong to a different condition and are excluded to keep one coherent envelope. The source warns 'The facility pressure had a significant effect on thruster performance and stability at the conditions tested' - treat the extremes with caution."
SPT-100,input_power,0.903,1.5,kW,sankovic1993,"10, Table II",300.  3.01  903 ... 300.  5.00  1500,Discharge power at 300 V design voltage. Design power is 1.33-1.35 kW. From the NASA LeRC parametric test of a Fakel flight-model SPT-100 (S/N 002) at design voltage 300 V. The paper predates the SPT-100B/SPT-100D designations - do NOT transfer these figures to those variants. Off-design results at 201-250 V exist (Isp 1100-1410 s) but belong to a different condition and are excluded to keep one coherent envelope. The source warns 'The facility pressure had a significant effect on thruster performance and stability at the conditions tested' - treat the extremes with caution.
PPS-1350,isp,1600,1650,s,goebel2008,"441-442, Table 9-9",Average Isp (s)   1650 ; producing a maximum thrust of 70 mN at an Isp of 1600 s,"PPS-1350-G, the SMART-1 flight configuration. Range spans the nominal specification (1,650 s) and the in-flight figure at maximum thrust (1,600 s)."
PPS-1350,thrust,0.07,0.088,N,goebel2008,"441-442, Table 9-9",Thrust (mN)   88 ; producing a maximum thrust of 70 mN at an Isp of 1600 s,Range spans nominal specification (88 mN) and maximum achieved in flight on SMART-1 (70 mN). PPS-1350-G.
PPS-1350,input_power,0.462,1.19,kW,koppel2004,"5, section III",level vary from 462 W up to 1190 W.,In-flight throttle range at the THRUSTER terminals during the SMART-1 lunar mission. PPU input was 649.3-1417.8 W - the difference is PPU loss. CONFLICT: Goebel & Katz Table 9-9 lists 1500 W nominal while its own facing body text says 'nominal performance of this thruster at 1.35 kW' - an internal inconsistency within one Tier 1 source. The flight-measured range is used here as it is corroborated by two independent sources.
BHT-600,isp,1400,1700,s,szabo2017,"1, abstract","With xenon, peak measured thruster efficiency is 46-48% at 600-W, with specific impulse from 1400 s to 1700 s.","Measured range with xenon. The nominal specification figure is 1,500 s at 300 V / 600 W. Engineering model; an iodine-fuelled variant is described separately in the same paper and is not used here."
BHT-600,thrust,0.039,0.039,N,szabo2017,"2, Table 1","Thrust*   39 mN  (footnote: *Xe propellant, 300 V, 600 W)",Nominal design point only; no thrust range is published. Confirmed identically by the Busek datasheet.
BHT-600,engine_mass,2.6,2.6,kg,szabo2017,"2, Table 1",Thruster Mass   2.6 kg,Thruster only. The cathode (0.2 kg) is a separate line item and is NOT included. Confirmed identically by the Busek datasheet.
BHT-600,input_power,0.2,0.8,kW,szabo2017,"2, Table 1",Discharge Power Range   200 W - 800 W,"Engineering-model tested envelope. DISAGREES with the Busek production datasheet, which gives 300-800 W. Both rows are retained; the likely reading is tested envelope vs qualified production envelope."
BHT-600,input_power,0.3,0.8,kW,busek_bht600,"1, spec block",Throttle Range:   300 W - 800 W,"Production qualified envelope. DISAGREES with the NASA/Busek paper, which gives 200-800 W for the engineering model. Both rows are retained."
